X;Y;facility_id;facility_name;facility_other_names;sub_site_name;sub_site_other_names;facility_type;primary_commodity;commodities_products;facility_equipment;production_start;production_end;activity_status;activity_status_year;surface_area_sq_km;concession_area_sq_km;country;GID_0;GID_1;GID_2;GID_3;GID_4;source_id;comment;;;;;
-5.722956168;43.53421703;COM00079.00;Aviles and Gijon steel plant;Asturias steel plant;;;Smelter, Refinery;Processing;Steel, railroad rails, wire rod, heavy plates, hot-rolled coils, galvanized sheet, tinplate, organic-coated sheet;Coke oven, sinter plant, blast furnace, steel plant, continuous casters for slabs, casters for blooms and billets, hot strip mill, heavy plate mill, wire rod mill, rail mil, pickling line, cold tandem mill, tinning line, galvanizing line, organic coating line;;;;;;;Spain;ESP;ESP.17_1;ESP.17.1_1;ESP.17.1.4_1;ESP.17.1.4.2_1;det_1219;;;;;;
-2.2778128;6.227399626;COM00080.00;Awaso;;;;Mine;Aluminium;Bauxite;;;;;;;;Ghana;GHA;GHA.10_1;GHA.10.4_1;;;det_1070;;;;;;
37.61539733;47.10784435;COM00081.00;Azovstal;PrJSC Azovstal Iron and Steel Works;;;Refinery, Smelter;Processing;Coke, Steel;Coke-Oven, Blast Furnace, Oxygen Furnace;1933;;;;;;Ukraine;UKR;UKR.6_1;UKR.6.23_1;;;det_1228;;;;;;
-50.29954891;-6.104873196;COM00082.00;Azul;;;;Mine;Other (poly)-metallic;Manganese;Open Pit;1985;;;;;;Brazil;BRA;BRA.14_1;BRA.14.90_1;BRA.14.90.1_1;;det_1159;;;;;;
150.0577218;-33.27092791;COM00083.00;Baal Bone;;;;Mine;Coal;Coal;Underground, Open pit;;2011;;;;;Australia;AUS;AUS.5_1;AUS.5.83_1;;;det_1195;;;;;;
-113.2111358;34.58472823;COM00084.00;Bagdad;;;;Mine;Copper;Copper, Molybdenum;Open pit, SX-EW;1945;;;;133.95239;;United States of America;USA;USA.3_1;USA.3.14_1;;;det_1167;;;;;;
-68.14931154;49.25057624;COM00085.00;Baie Comeau Aluminium Smelter;;;;Smelter;Processing;Aluminium;;;;;;;;Canada;CAN;CAN.11_1;CAN.11.72_1;CAN.11.72.1_1;;det_1270;;;;;;
124.312047;0.572639026;COM00086.00;Bakan;;;;Mine;Gold;Gold;Heap leaching plant;2004;;;;;581.5;Indonesia;IDN;IDN.29_1;IDN.29.2_1 ;;;;;;;;;
124.4101917;0.678473026;COM00086.00;Bakan;;;;Mine;Gold;Gold;Heap leaching plant;2004;;;;;581.5;Indonesia;IDN;IDN.29_1;IDN.29.2_1 ;;;;;;;;;
115.6053357;-2.353945885;COM00087.00;Balangan;Balangan Coal Companies;;;Mine;Coal;Thermal coal;Open pit;;;;;;75;Indonesia;IDN;IDN.13_1;IDN.13.1_1;IDN.13.1.4_1;IDN.13.1.4.18_1;det_1508;;;;;;
-115.6136584;39.94280523;COM00088.00;Bald Mountain;;;;Mine;Gold;Gold;;;;;;;;United States of America;USA;USA.29_1;USA.29.17_1;;;det_1041;;;;;;
74.94995384;46.83840802;COM00089.00;Balkhash Smelter;Balhashcvetmet;;;;;;;;;;;;;;;;;;;;;;;;;
115.9130774;-0.42160492;COM00090.00;Bangun Olahsarana Sukses;PT. Bangun Olahsarana Sukses, BOS;;;Mine;Coal;Metallurgical coal;;;;;;;;Indonesia;IDN;IDN.15_1;IDN.15.5_1;IDN.15.5.16_1;IDN.15.5.16.1_1;det_1524;;;;;;
119.7600514;49.39369693;COM00093.00;Baorixile Mines;Shenhua Baorixile Energy Co., Shenbao Energy Company;;;Mine;Coal;Lignite;;;;;;;;China;CHN;CHN.19_1;CHN.19.6_1;CHN.19.6.3_1;;det_1376;;;;;;
110.6059844;40.69178302;COM00095.00;Baotou Mines;Shenhua Baotou Energy Co.;;;Mine;Coal;Thermal coal;;;;;;;;China;CHN;CHN.19_1;CHN.19.5_1 ;;;;;;;;;
110.5186361;40.65454129;COM00095.00;Baotou Mines;Shenhua Baotou Energy Co.;;;Mine;Coal;Thermal coal;;;;;;;;China;CHN;CHN.19_1;CHN.19.5_1 ;;;;;;;;;
110.0235465;39.7400078;COM00095.00;Baotou Mines;Shenhua Baotou Energy Co.;;;Mine;Coal;Thermal coal;;;;;;;;China;CHN;CHN.19_1;CHN.19.5_1 ;;;;;;;;;
149.8007948;-24.15221013;COM00096.00;Baralaba;;;;Mine;Coal;Coal, Thermal coal;Surface;;;;;;;Australia;AUS;AUS.7_1;AUS.7.16_1;;;det_1392;;;;;;
-43.81558534;-21.20023707;COM00097.00;Barbacena Ferroalloys plant;;;;Refinery;Processing;ferro-silicon manganese, ferro-manganese medium carbon;refining furnaces, briquetting plant;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.60_1;BRA.13.60.1_1;;det_1159;;;;;;
31.07214489;-25.73201939;COM00098.00;Barberton;Fairview, Sheba, Consort;;;Mine;Gold;Gold;Carbon in Leach plant;;;;;;;South Africa;ZAF;ZAF.6_1;ZAF.6.1_1;ZAF.6.1.5_1;ZAF.6.1.5.1_1 ;;;;;;;
31.13651498;-25.71452306;COM00098.00;Barberton;Fairview, Sheba, Consort;;;Mine;Gold;Gold;Carbon in Leach plant;;;;;;;South Africa;ZAF;ZAF.6_1;ZAF.6.1_1;ZAF.6.1.5_1;ZAF.6.1.5.1_1 ;;;;;;;
31.08360778;-25.64574693;COM00098.00;Barberton;Fairview, Sheba, Consort;;;Mine;Gold;Gold;Carbon in Leach plant;;;;;;;South Africa;ZAF;ZAF.6_1;ZAF.6.1_1;ZAF.6.1.5_1;ZAF.6.1.5.1_1 ;;;;;;;
-112.1342076;40.59397213;COM00099.00;Barneys Canyon;;;;Mine;Gold;Gold;;;;;;;;United States of America;USA;USA.45_1;USA.45.18_1;;;det_1066;;;;;;
-48.94362011;-15.07562655;COM00100.00;Barro Alto;;;;Mine;Nickel;Nickel, Manganese;;;;;;;;Brazil;BRA;BRA.9_1;BRA.9.33_1;BRA.9.33.1_1;;det_1103;;;;;;
73.22345988;27.82443194;COM00101.00;Barsingsar;;;;Mine;Coal;Lignite;Open pit;;;;;;;India;IND;IND.29_1;IND.29.8_1;IND.29.8.1_1;;det_1590;;;;;;
99.69142494;43.25833427;COM00102.00;Baruun Noyon Uul;BNU;;;Mine;Coal;Thermal coal;;;;;;;;Mongolia;MNG;MNG.15_1;MNG.15.5_1;;;det_1547;;;;;;
86.02454079;55.72196336;COM00103.00;Barzasskoye tovarischestvo;;;;Mine;Coal;Coking coal;;;;;;;;Russian Federation;RUS;RUS.27_1;RUS.27.10_1;RUS.27.10.1_1;;det_1561;;;;;;
116.8588434;-8.967226625;COM00104.00;Batu Hijau;;;;Mine;Copper;Gold, Copper, Silver;Open pit;;;;;;;Indonesia;IDN;IDN.20_1;IDN.20.9_1;IDN.20.9.6_1;IDN.20.9.6.7_1;det_1013;;;;;;
116.0005194;-3.389605267;COM00105.00;Batulicin;Batu Licin;;;Mine;Coal;Coal;Open pit;;2013;;;;;Indonesia;IDN;IDN.13_1;IDN.13.11_1;IDN.13.11.9_1;IDN.13.11.9.4_1;det_1511;;;;;;
-58.27363353;5.985258442;COM00106.00;Bauxite Company of Guyana;Bauxite Company of Guyana Inc.;;;Mine;Aluminium;Bauxite;;;;;;;;Guyana;GUY;GUY.9_1;GUY.9.3_1 ;;;;;;;;;
-58.0674976;5.250388429;COM00106.00;Bauxite Company of Guyana;Bauxite Company of Guyana Inc.;;;Mine;Aluminium;Bauxite;;;;;;;;Guyana;GUY;GUY.9_1;GUY.9.3_1 ;;;;;;;;;
-58.25212411;5.509639646;COM00106.00;Bauxite Company of Guyana;Bauxite Company of Guyana Inc.;;;Mine;Aluminium;Bauxite;;;;;;;;Guyana;GUY;GUY.9_1;GUY.9.3_1 ;;;;;;;;;
